student_no,raw_score
2530023,80
2530040,80
2530066,65
2530139,87
2530198,78
2530244,73
2530228,76
2530279,80
2530317,50
2530333,93
2530350,97
2530392,44
2530422,71
2530490,85
2530520,83
2530554,100
2530562,85
2530589,90
2530600,87
2530619,69
2530635,67
2530643,53
2530651,85
2530759,65
2530724,95
2530767,84
2530783,69
2530805,65
2530902,90
2530910,61
2530929,77
2530953,68
2530961,76
2530988,95
2531011,78
2531020,64
2531097,38
2531100,88
2531194,69
2531208,68
2530015,76
2530058,71
2530090,85
2530112,63
2530147,86
2530155,97
2530163,93
2530180,85
2530236,85
2530252,85
2530260,69
2530325,97
2530341,65
2530430,91
2530449,76
2530465,64
2530473,79
2530538,73
2530546,59
2530597,67
2530678,91
2530686,77
2530708,95
2530732,88
2530791,100
2530830,83
2530848,86
2530856,89
2530880,85
2530937,97
2530970,95
2530996,97
2531003,80
2531054,93
2531062,70
2531070,90
2531119,93
2531127,86
2531186,83
2530031,97
2530074,94
2530082,58
2530104,70
2530120,97
2530171,70
2530201,97
2530210,73
2530287,85
2530295,67
2530309,90
2530368,52
2530376,92
2530384,80
2530406,100
2530414,81
2530457,74
2530481,79
2530503,85
2530511,85
2530570,90
2530627,73
2530660,77
2530694,71
2530716,75
2530740,92
2530775,53
2530813,81
2530821,88
2530864,97
2530872,97
2530945,70
2531038,76
2531046,59
2531089,86
2531135,97
2531143,74
2531151,93
2531160,93
2531178,71