id,student_no,raw_score
73679,2330016,66
73680,2330024,67
73681,2330059,91
73682,2330083,65
73683,2330121,49
73684,2330130,65
73685,2330148,63
73686,2330245,66
73687,2330270,68
73688,2330318,65
73689,2330334,58
73690,2330369,77
73691,2330407,56
73692,2330415,73
73693,2330431,76
73694,2330466,56
73695,2330490,45
73696,2330504,74
73697,2330571,55
73698,2330598,70
73699,2330644,58
73700,2330652,93
73701,2330784,57
73702,2330806,78
73703,2330814,74
73704,2330830,72
73705,2330849,79
73706,2330857,69
73707,2330865,55
73708,2330881,76
73709,2330911,66
73710,2330946,74
73711,2330962,82
73712,2330997,79
73713,2331047,74
73714,2331055,67
73715,2331080,44
73716,2331101,53
73717,2331110,80
73718,2331209,63
73719,2330040,68
73720,2330067,82
73721,2330075,50
73722,2330105,60
73723,2330164,92
73724,2330180,67
73725,2330202,89
73726,2330237,49
73727,2330253,76
73728,2330261,68
73729,2330300,66
73730,2330326,52
73731,2330342,88
73732,2330377,62
73733,2330423,89
73734,2330482,65
73735,2330512,54
73736,2330520,96
73737,2330555,46
73738,2330610,55
73739,2330636,65
73740,2330679,76
73741,2330687,71
73742,2330695,82
73743,2330717,
73744,2330725,72
73745,2330733,63
73746,2330750,81
73747,2330776,53
73748,2330792,57
73749,2330903,50
73750,2330938,92
73751,2330989,55
73752,2331004,77
73753,2331020,48
73754,2331071,88
73755,2331098,79
73756,2331128,75
73757,2331144,92
73758,2330032,79
73759,2330091,66
73760,2330113,49
73761,2330156,85
73762,2330172,79
73763,2330199,88
73764,2330210,69
73765,2330229,60
73766,2330288,62
73767,2330296,54
73768,2330350,55
73769,2330385,93
73770,2330393,52
73771,2330440,56
73772,2330458,92
73773,2330474,70
73774,2330539,42
73775,2330547,38
73776,2330563,
73777,2330580,83
73778,2330601,70
73779,2330628,61
73780,2330660,79
73781,2330709,61
73782,2330741,59
73783,2330822,84
73784,2330873,51
73785,2330890,49
73786,2330954,53
73787,2330970,89
73788,2331012,44
73789,2331039,58
73790,2331063,50
73791,2331136,60
73792,2331152,65
73793,2331160,52
73794,2331179,66
73795,2331187,98
73796,2331195,93